"荷主コード","荷主名","拠点コード","拠点名","商品コード","枝番","商品名","上位商品コード","JANコード","ITFコード","カテゴリー名","仕入先コード","仕入先名","在庫数","数量単位","引当数","未引当数","入荷実績数","出荷実績数","属性１","属性２","属性３","ロットNo","製造日","賞味期限","入荷日","在庫区分名","入庫No","出荷期限","最終入庫日","最終出庫日"
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","34","","0","34","0","0","","","","","","","2025/09/02","通常品","250902050096","","2025/09/02",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","46","","0","46","0","0","","","","","","","2026/02/04","通常品","260204060615","","2026/02/04",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","8","","0","8","0","0","","","","","","","2026/03/17","通常品","260317062705","","2026/03/17",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","9","","0","9","0","0","","","","","","","2026/03/19","通常品","260319062885","","2026/03/19",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","23","","0","23","0","0","","","","","","","2026/03/31","通常品","260331063438","","2026/03/31",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","1","","0","1","0","0","","","","","","","2026/05/26","通常品","260526064856","","2026/05/26",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","19","","0","19","0","0","","","","","","","2026/06/01","通常品","260601065118","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","79","","0","79","0","0","2025年12月1日製造分","","","","","","2025/08/26","通常品","260219061585","","2026/02/19","2026/08/05"
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G2-250801","","●【ギフトボックス】200ml リキュール用 共通資材","","","","","","","2","","0","2","0","0","B級品","","","","","","2026/03/17","通常品","260317062706","","2026/03/17",""
"000250","CRAFT WONDER","001","ソネッティーク","LQR-G5-250801","","●【ギフトボックス】500ml リキュール用 共通資材","","","","","","","977","","0","977","0","0","","","","","","","2025/08/26","通常品","250826049589","","2025/08/26","2025/12/22"
"000250","CRAFT WONDER","001","ソネッティーク","MW-L-20250801","","▲【ノベルティ】マンゴー リーフレット","","","","","","","30","","0","30","0","0","","","","","","","2025/08/26","通常品","250826049590","","2025/08/26","2026/01/21"
"000250","CRAFT WONDER","001","ソネッティーク","NONA-C-260501","","注意書きカード（Non Ale Wonder0.00%　Yuzu）","","","","","","","1221","","1","1220","0","2","","","","","","","2026/05/15","通常品","260515064634","","2026/05/15","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","NONA-C-260501","","注意書きカード（Non Ale Wonder0.00%　Yuzu）","","","","","","","6","","0","6","6","0","","","","","","","2026/08/31","通常品","260831068584","","2026/08/31",""
"000250","CRAFT WONDER","001","ソネッティーク","NOSI-S-202607","","【ギフト資材】熨斗（176×385mm）〈お中元〉","","","","","","","40","","0","40","0","0","","","","","","","2026/06/30","通常品","260630065615","","2026/06/30","2026/07/14"
"000250","CRAFT WONDER","001","ソネッティーク","NOSI-W-251128","","●【ギフトボックス】熨斗（お歳暮）","","","","","","","12","","0","12","0","0","","","","","","","2025/12/15","通常品","251215058920","","2025/12/15","2026/08/05"
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox","","■【化粧箱】ウイスキー 化粧箱","","","","","","","1233","","0","1233","0","1","","","","","","","2024/06/19","通常品","240619023818","","2025/08/28","2026/08/28"
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox","","■【化粧箱】ウイスキー 化粧箱","","","","","","","2","","0","2","0","0","","","","","","","2026/06/01","通常品","260601065119","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox","","■【化粧箱】ウイスキー 化粧箱","","","","","","","2","","0","2","0","0","B級品","","","","","","2026/05/26","通常品","260528064862","","2026/05/28",""
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox","","■【化粧箱】ウイスキー 化粧箱","","","","","","","2","","0","2","0","0","B級品","","","","","","2026/07/31","通常品","260731066866","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox_P","","▲【ノベルティ】ウイスキー 紙袋","","","","","","","995","","0","995","0","1","","","","","","","2025/08/27","通常品","250827049595","","2025/12/19","2026/08/28"
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox_P","","▲【ノベルティ】ウイスキー 紙袋","","","","","","","12","","0","12","0","0","","","","","","","2026/06/01","通常品","260601065120","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","RWWMbox_P","","▲【ノベルティ】ウイスキー 紙袋","","","","","","","2","","0","2","0","0","","","","","","","2026/07/31","通常品","260731066867","","2026/07/31",""
"000250","CRAFT WONDER","001","ソネッティーク","SW-C-260501","","【同梱物】STRAWBERRY WONDER 飲み方カード（名刺サイズ）","","","","","","","93","","0","93","0","0","","","","","","","2026/05/28","通常品","260528064863","","2026/05/28","2026/08/04"
"000250","CRAFT WONDER","001","ソネッティーク","SW-NOV-251201","","▲【ノベルティ】STRAWBERRY WONDER ミニボトル","","","","","","","16","","0","16","0","0","","","","","","","2026/05/26","通常品","260526064847","","2026/05/26","2026/06/16"
"000250","CRAFT WONDER","001","ソネッティーク","SW200_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【200ml】","","","","","","","11","","0","11","0","0","","","","","","","2026/06/01","通常品","260601065121","","2026/06/01","2026/06/24"
"000250","CRAFT WONDER","001","ソネッティーク","SW200_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【200ml】","","","","","","","1","","0","1","0","0","B級品","","","","","","2026/05/21","通常品","260521064772","","2026/05/21",""
"000250","CRAFT WONDER","001","ソネッティーク","SW200_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【200ml】","","","","","","","3","","0","3","0","0","B級品","","","","","","2026/06/01","通常品","260601065122","","2026/06/01",""
"000250","CRAFT WONDER","001","ソネッティーク","SW500_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【500ml】","","","","","","","298","","0","298","0","0","","","","","","","2025/03/14","通常品","250314043788","","2025/03/14","2026/04/22"
"000250","CRAFT WONDER","001","ソネッティーク","SW500_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【500ml】","","","","","","","12","","0","12","0","0","","","","","","","2026/02/04","通常品","260204060617","","2026/02/04","2026/04/10"
"000250","CRAFT WONDER","001","ソネッティーク","SW500_giftbox","","●【ギフトボックス】STRAWBERRY WONDER【500ml】","","","","","","","9","","0","9","0","0","2025年12月1日製造分","","","","","","2025/03/14","通常品","260310062642","","2026/03/10","2026/03/10"
"000250","CRAFT WONDER","001","ソネッティーク","WHKY-G-260801","","【化粧箱】ウイスキーギフトボックス（700ml）〈共通資材〉","","","","","","","469","","2","467","0","3","2026年7月充填分","","","","","","2026/08/06","通常品","260810067462","","2026/08/10","2026/09/01"
"000250","CRAFT WONDER","001","ソネッティーク","YUZU-L-250501","","▲【ノベルティ】ユズ リーフレット","","","","","","","19","","0","19","0","0","","","","","","","2026/02/04","通常品","260204060618","","2026/02/04","2026/08/10"
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","236","","2","234","0","9","","","","","","","2024/05/15","通常品","240515023688","","2026/02/27","2026/09/02"
"000250","CRAFT WONDER","001","ソネッティーク","giftbox","","●【ギフトボックス】ビール ギフト用","","","","","","","24","","0","24","0","0","","","","","","","2026/03/31","通常品","260331063439","","2026/03/31",""
